Handle,Data center,Date,Chip type,Number of Units,Chip type source,Number of Units source,Owner,User,Notes,Created By,Created,Last Modified By,Last Modified
TPU v5e at Google Columbus on 2024-04-01T00:00:00.000Z,Google Columbus,2024-04-01,TPU v5e,99419,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Building 1 (Q2 FY24 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-05-07T01:39:10.000Z,Epoch AI,2026-05-16 10:31:50+00:00
TPU v5p at Google Columbus on 2024-04-01T00:00:00.000Z,Google Columbus,2024-04-01,TPU v5p,27617,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Building 1 (Q2 FY24 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-05-07T01:39:10.000Z,Epoch AI,2026-05-16 10:31:50+00:00
TPU v5e at Google Omaha on 2024-04-08T00:00:00.000Z,Google Omaha,2024-04-08,TPU v5e,120879,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Building 1 (Q2 FY24 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-03-12T20:26:30.000Z,Epoch AI,2026-05-16 10:30:41+00:00
TPU v5p at Google Omaha on 2024-04-08T00:00:00.000Z,Google Omaha,2024-04-08,TPU v5p,33578,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Building 1 (Q2 FY24 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-03-12T20:26:31.000Z,Epoch AI,2026-05-16 10:30:42+00:00
TPU v5p at  on 2024-04-08T00:00:00.000Z,,2024-04-08,TPU v5p,33578,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Building 1 (Q2 FY24 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-06-08T21:30:15.000Z,Ben Cottier,2026-06-12 16:00:48+00:00
TPU v5e at  on 2024-04-08T00:00:00.000Z,,2024-04-08,TPU v5e,120879,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Building 1 (Q2 FY24 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-06-08T21:30:15.000Z,Ben Cottier,2026-06-12 16:00:48+00:00
TPU v5e at Google New Albany on 2024-04-20T00:00:00.000Z,Google New Albany,2024-04-20,TPU v5e,103956,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Building 1 (Q2 FY24 production mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and per-chip TDP from Parameters.",Epoch AI,2026-03-02T22:35:34.000Z,Epoch AI,2026-05-16 10:29:31+00:00
TPU v5p at Google New Albany on 2024-04-20T00:00:00.000Z,Google New Albany,2024-04-20,TPU v5p,28877,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Building 1 (Q2 FY24 production mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and per-chip TDP from Parameters.",Epoch AI,2026-03-12T20:14:29.000Z,Epoch AI,2026-05-16 10:29:31+00:00
H100 at CoreWeave Chester VA on 2024-04-30T00:00:00.000Z,CoreWeave Chester VA,2024-04-30,H100,22100,Estimate,Estimate,CoreWeave #confident,,Full CTP-01 estimate using the reported 27 MW critical capacity. Chip type and quantity are estimated from the power model.,Epoch AI,2026-06-09T19:59:04.000Z,Epoch AI,2026-06-09 19:59:04+00:00
H100 at Microsoft SAT40 on 2024-05-24T00:00:00.000Z,Microsoft SAT40,2024-05-24,H100,32407,Estimate,Estimate,Microsoft #confident,,Type estimated based on chip sales data. # of units estimated based on power for Building 1.,Epoch AI,2026-05-18T17:53:20.000Z,Epoch AI,2026-05-19 15:12:24+00:00
H100 at Microsoft SAT14 on 2024-07-01T00:00:00.000Z,Microsoft SAT14,2024-07-01,H100,12963,Estimate,Estimate,Microsoft #confident,,Type estimated based on chip sales data. # of units estimated based on power for completed portions of Building 1.,Epoch AI,2026-05-18T17:04:13.000Z,Epoch AI,2026-05-19 15:12:19+00:00
TPU v5p at Google Pryor (North) on 2024-07-19T00:00:00.000Z,Google Pryor (North),2024-07-19,TPU v5p,27959,Estimate,Estimate,Google #confident,Google DeepMind #likely,"First operational capacity (Q3 FY24 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-03-12T20:25:20.000Z,Epoch AI,2026-06-12 15:53:38+00:00
TPU v5e at Google Pryor (North) on 2024-07-19T00:00:00.000Z,Google Pryor (North),2024-07-19,TPU v5e,67102,Estimate,Estimate,Google #confident,Google DeepMind #likely,"First operational capacity (Q3 FY24 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-03-12T20:25:20.000Z,Epoch AI,2026-06-12 15:53:37+00:00
TPU v6e at Google Papillion on 2024-08-03T00:00:00.000Z,Google Papillion,2024-08-03,TPU v6e,28629,Estimate,Estimate,Google Cloud #confident,Google #likely,"Buildings 2-3 (Q4 FY24 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-05-14T20:38:40.000Z,Epoch AI,2026-05-18 18:44:21+00:00
TPU v5e at Google Papillion on 2024-08-03T00:00:00.000Z,Google Papillion,2024-08-03,TPU v5e,177290,Estimate,Estimate,Google Cloud #confident,Google #likely,"Cumulative through Buildings 2-3 (Q4 FY24 mix for new capacity). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-05-14T20:38:40.000Z,Epoch AI,2026-05-18 18:44:20+00:00
TPU v5p at Google Papillion on 2024-08-03T00:00:00.000Z,Google Papillion,2024-08-03,TPU v5p,73871,Estimate,Estimate,Google Cloud #confident,Google #likely,"Buildings 2-3 (Q4 FY24 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-05-14T20:38:40.000Z,Epoch AI,2026-05-18 18:44:20+00:00
TPU v6e at Google New Albany on 2024-09-13T00:00:00.000Z,Google New Albany,2024-09-13,TPU v6e,14362,Estimate,Estimate,Google #confident,Google DeepMind #likely,"First deployed in Building 2 (Q4 FY24 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and per-chip TDP from Parameters.",Epoch AI,2026-03-02T22:35:34.000Z,Epoch AI,2026-05-16 10:29:32+00:00
TPU v5p at Google New Albany on 2024-09-13T00:00:00.000Z,Google New Albany,2024-09-13,TPU v5p,65935,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Cumulative through Building 2 (Q4 FY24 mix for new capacity). Chip type and quantity derived from Timeline power, TPU_Production shares, and per-chip TDP from Parameters.",Epoch AI,2026-03-12T20:14:29.000Z,Epoch AI,2026-05-16 10:29:31+00:00
TPU v5e at Google New Albany on 2024-09-13T00:00:00.000Z,Google New Albany,2024-09-13,TPU v5e,192897,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Cumulative through Building 2 (Q4 FY24 mix for new capacity). Chip type and quantity derived from Timeline power, TPU_Production shares, and per-chip TDP from Parameters.",Epoch AI,2026-03-12T20:14:29.000Z,Epoch AI,2026-05-16 10:29:31+00:00
H100 at STACK Infrastructure NVA02 on 2024-10-01T00:00:00.000Z,STACK Infrastructure NVA02,2024-10-01,H100,60911,Estimate,Estimate,,,H100 assumed from 62% market share in Q2 2024 and 8 chips per server (HGX form factor). Count = IT capacity (from air-cooled chiller fan count model) / server power × 8 chips per server.,Epoch AI,2026-04-08T22:16:42.000Z,Epoch AI,2026-04-08 22:16:42+00:00
TPU v5e at Google Council Bluffs (East) on 2024-11-19T00:00:00.000Z,Google Council Bluffs (East),2024-11-19,TPU v5e,60472,Estimate,Estimate,Google #confident,Google DeepMind #likely,"First operational capacity (Q1 FY25 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-03-12T20:26:30.000Z,Epoch AI,2026-05-16 10:31:49+00:00
TPU v6e at Google Council Bluffs (East) on 2024-11-19T00:00:00.000Z,Google Council Bluffs (East),2024-11-19,TPU v6e,47741,Estimate,Estimate,Google #confident,Google DeepMind #likely,"First operational capacity (Q1 FY25 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-03-12T20:26:30.000Z,Epoch AI,2026-05-16 10:31:49+00:00
TPU v5p at Google Council Bluffs (East) on 2024-11-19T00:00:00.000Z,Google Council Bluffs (East),2024-11-19,TPU v5p,25197,Estimate,Estimate,Google #confident,Google DeepMind #likely,"First operational capacity (Q1 FY25 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-03-12T20:26:31.000Z,Epoch AI,2026-05-16 10:31:50+00:00
TPU v5e at Google Omaha on 2024-11-19T00:00:00.000Z,Google Omaha,2024-11-19,TPU v5e,181319,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Cumulative through Building 2 (Q1 FY25 mix for new capacity). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-03-12T20:26:31.000Z,Epoch AI,2026-05-16 10:30:42+00:00
TPU v5p at Google Omaha on 2024-11-19T00:00:00.000Z,Google Omaha,2024-11-19,TPU v5p,58761,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Cumulative through Building 2 (Q1 FY25 mix for new capacity). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-03-12T20:26:32.000Z,Epoch AI,2026-05-16 10:30:44+00:00
TPU v6e at Google Omaha on 2024-11-19T00:00:00.000Z,Google Omaha,2024-11-19,TPU v6e,47716,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Building 2 (Q1 FY25 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-03-12T20:26:32.000Z,Epoch AI,2026-05-16 10:30:43+00:00
TPU v6e at  on 2024-11-19T00:00:00.000Z,,2024-11-19,TPU v6e,47716,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Building 2 (Q1 FY25 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-06-08T21:30:16.000Z,Ben Cottier,2026-06-12 16:00:48+00:00
TPU v5e at  on 2024-11-19T00:00:00.000Z,,2024-11-19,TPU v5e,181319,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Cumulative through Building 2 (Q1 FY25 mix for new capacity). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-06-08T21:30:16.000Z,Ben Cottier,2026-06-12 16:00:48+00:00
TPU v5p at  on 2024-11-19T00:00:00.000Z,,2024-11-19,TPU v5p,58761,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Cumulative through Building 2 (Q1 FY25 mix for new capacity). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-06-08T21:30:17.000Z,Ben Cottier,2026-06-12 16:00:48+00:00
H100 at DayOne Nusajaya on 2024-12-31T00:00:00.000Z,DayOne Nusajaya,2024-12-31,H100,34400,Estimate,Estimate,"ByteDance #likely, Oracle #likely",,"H100: https://english.cw.com.tw/article/article.action?id=4385. ByteDance likely: https://asiatimes.com/2026/03/nvidia-chip-curbs-turn-singapore-into-ai-hub-for-china/, https://english.cw.com.tw/article/article.action?id=4385. Oracle likely: https://newsletter.semianalysis.com/p/how-oracle-is-winning-the-ai-compute-market",Epoch AI,2026-05-08T22:23:31.000Z,Epoch AI,2026-05-16 10:30:42+00:00
Ascend 910C at Huawei Horinger on 2025-01-01T00:00:00.000Z,Huawei Horinger,2025-01-01,Ascend 910C,75136,Estimate,Estimate,Huawei #confident,,,Epoch AI,2026-05-28T23:33:04.000Z,Epoch AI,2026-05-31 18:28:32+00:00
H100 at Microsoft Goodyear on 2025-01-16T00:00:00.000Z,Microsoft Goodyear,2025-01-16,H100,58302,Estimate,Estimate,Microsoft #confident,Microsoft #confident,"Building 2 also H100. Count = cumulative H100s across Buildings 1 and 2, each derived from IT capacity / server power × 8.",Epoch AI,2026-04-02T19:44:28.000Z,Epoch AI,2026-05-16 10:29:36+00:00
B200 at  on 2025-02-02T00:00:00.000Z,,2025-02-02,B200,20000,Estimate,Estimate,Oracle,OpenAI,,Epoch AI,2026-05-13T15:09:09.000Z,Axel Campos,2026-05-14 19:34:31+00:00
B200 at Microsoft Project Osmium on 2025-03-01T00:00:00.000Z,Microsoft Project Osmium,2025-03-01,B200,45455,Estimate,Estimate,Microsoft #confident,OpenAI #speculative,Type estimated based on chip sales data. # of units estimated based  on power for Building 3-4,Epoch AI,2026-05-03T00:19:43.000Z,Epoch AI,2026-05-18 15:53:10+00:00
TPU v6e at Google Columbus on 2025-03-01T00:00:00.000Z,Google Columbus,2025-03-01,TPU v6e,78489,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Building 2 (Q2 FY25 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-05-07T01:39:11.000Z,Epoch AI,2026-05-16 10:31:50+00:00
TPU v5p at Google Columbus on 2025-03-01T00:00:00.000Z,Google Columbus,2025-03-01,TPU v5p,41425,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Cumulative through Building 2 (Q2 FY25 mix for new capacity). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-05-07T01:39:11.000Z,Epoch AI,2026-05-16 10:31:51+00:00
TPU v6e at Google The Dalles on 2025-03-07T00:00:00.000Z,Google The Dalles,2025-03-07,TPU v6e,93248,Estimate,Estimate,,,"Building 1 (Q2 FY25 production mix). Chip type and quantity derived from Timeline power, TPU production, and per-chip TDP.",Epoch AI,2026-05-19T01:41:17.000Z,Epoch AI,2026-05-19 01:41:17+00:00
TPU v5p at Google The Dalles on 2025-03-07T00:00:00.000Z,Google The Dalles,2025-03-07,TPU v5p,16405,Estimate,Estimate,,,"Building 1 (Q2 FY25 production mix). Chip type and quantity derived from Timeline power, TPU production, and per-chip TDP.",Epoch AI,2026-05-19T01:41:18.000Z,Epoch AI,2026-05-19 01:41:18+00:00
B300 at Meta Rosemount on 2025-04-29T00:00:00.000Z,Meta Rosemount,2025-04-29,B300,80486,Estimate,Estimate,Meta #confident,Meta #confident,GB300 NVL72 assumed from commissioning timeline and Chip Owners estimates: https://epoch.ai/data/ai-chip-owners. Count = Total IT power / IT overhead / server power x 72.,Epoch AI,2026-05-28T17:18:45.000Z,Epoch AI,2026-06-04 21:35:53+00:00
B200 at Oracle Batam on 2025-05-15T00:00:00.000Z,Oracle Batam,2025-05-15,B200,15999,Estimate,Estimate,Oracle #likely,,"Estimated from power capacity. DayOne partners with NVIDIA, and these are the best wide-sold chips available at the time. In a [LinkedIn post](https://www.linkedin.com/posts/digitaltransformation-datacenter-ugcPost-7264614420276744194-aQSa/) DayOne said it ""signed a contract with a leading global tech company in Q3 [2024] for 34 MW committed and 38 MW reserved capacity at our Batam campus."" A partnership with Oracle specifically was later [reported](https://www.datacenterdynamics.com/en/news/oracle-establishes-cloud-presence-in-indonesia/), and 34 MW corresponds to the first two data center buildings.",Epoch AI,2026-05-06T14:56:02.000Z,Epoch AI,2026-05-16 10:28:24+00:00
TPU v6e at Google New Albany on 2025-06-01T00:00:00.000Z,Google New Albany,2025-06-01,TPU v6e,134049,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Cumulative through Building 3 (Q3 FY25 mix for new capacity). Chip type and quantity derived from Timeline power, TPU_Production shares, and per-chip TDP from Parameters.",Epoch AI,2026-03-02T22:35:34.000Z,Epoch AI,2026-05-16 10:29:32+00:00
TPU v6e at Google Council Bluffs (East) on 2025-06-15T00:00:00.000Z,Google Council Bluffs (East),2025-06-15,TPU v6e,167093,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Cumulative (Q3 FY25 mix for new capacity). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-03-12T20:26:31.000Z,Epoch AI,2026-05-16 10:31:50+00:00
Trainium2 at Anthropic-Amazon New Carlisle on 2025-06-23T00:00:00.000Z,Anthropic-Amazon New Carlisle,2025-06-23,Trainium2,457000,Company disclosure,Company disclosure,Amazon #confident,Anthropic #confident,"Project Rainier [announced](https://www.aboutamazon.com/news/aws/aws-project-rainier-ai-trainium-chips-compute-cluster) with Trainium2. In an [interview](https://www.youtube.com/watch?v=jwgW_gHI1Vs&t=220s), AWS CEO says ""they're already running...about 500,000 [Trainium2] chips in Indiana today"". Count = 7 × chips per building, where chips per building = generator-based power / (PUE × IT overhead × chip TDP).",Epoch AI,2026-04-02T19:44:25.000Z,Epoch AI,2026-05-28 22:34:46+00:00
Trainium2 at Amazon Madison Mega Site on 2025-06-23T00:00:00.000Z,Amazon Madison Mega Site,2025-06-23,Trainium2,327000,Estimate,Estimate,Amazon #confident,Amazon #confident,"Chip type assumed from Project Rainier announcement (Trainium2). 5 buildings operational. Count = buildings × chips per building, where chips per building = building power / (PUE × IT overhead factor × chip TDP).",Epoch AI,2026-04-02T19:44:30.000Z,Epoch AI,2026-05-16 10:30:41+00:00
B200 at OpenAI Stargate Abilene on 2025-06-28T00:00:00.000Z,OpenAI Stargate Abilene,2025-06-28,B200,50400,Company disclosure,Company disclosure,Oracle #confident,OpenAI #confident,"[Crusoe Impact Report 2024, p.19](https://cdn.prod.website-files.com/6855c1aa175582ee23e0aa19/68710273a71bb7c11049ba28_Crusoe_Impact_Report_2024.pdf#page=19)",Epoch AI,2026-03-03T20:35:37.000Z,Epoch AI,2026-05-16 10:28:24+00:00
TPU v6e at Google Storey County on 2025-06-30T00:00:00.000Z,Google Storey County,2025-06-30,TPU v6e,121656,Estimate,Estimate,Google #confident,Google DeepMind #likely,Building 2 (Q3 FY25 mix: v6e only). Delta from Building 1 IT power.,Epoch AI,2026-05-01T19:31:24.000Z,Epoch AI,2026-05-16 10:32:58+00:00
Ascend 910C at VNET Bayin Ulanqab on 2025-07-01T00:00:00.000Z,VNET Bayin Ulanqab,2025-07-01,Ascend 910C,26816,Estimate,Estimate,VNET #confident,ByteDance #speculative,Specuative to likely,Epoch AI,2026-05-14T15:52:51.000Z,Epoch AI,2026-05-16 10:32:58+00:00
TPU v6e at Google Mesa on 2025-07-01T00:00:00.000Z,Google Mesa,2025-07-01,TPU v6e,135846,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Building 1 (Q3 FY25 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-05-29T15:09:39.000Z,Epoch AI,2026-05-29 15:09:39+00:00
H100 at Colossus 1 on 2025-07-22T00:00:00.000Z,Colossus 1,2025-07-22,H100,150000,Company disclosure,Company disclosure,SpaceXAI #confident,SpaceXAI #confident,"This is roughly when Musk [said](https://archive.is/z39uN), plus on this date they [reported](https://x.ai/colossus) ""running jobs with 150K+ GPUs"".",Ben Cottier,2025-10-02T13:36:30.000Z,Epoch AI,2026-05-16 10:30:41+00:00
H200 at Colossus 1 on 2025-07-22T00:00:00.000Z,Colossus 1,2025-07-22,H200,50000,Company disclosure,Company disclosure,SpaceXAI #confident,SpaceXAI #confident,"This is roughly when Musk [said](https://archive.is/z39uN), plus on this date they [reported](https://x.ai/colossus) ""running jobs with 150K+ GPUs"".",Ben Cottier,2026-03-02T15:11:08.000Z,Epoch AI,2026-05-16 10:30:41+00:00
B200 at Colossus 1 on 2025-07-22T00:00:00.000Z,Colossus 1,2025-07-22,B200,30000,Company disclosure,Company disclosure,SpaceXAI #confident,SpaceXAI #confident,[30k B200s added](https://archive.is/oHQSA) (in GB200 configuration).,Ben Cottier,2026-03-02T15:12:00.000Z,Epoch AI,2026-05-16 10:30:41+00:00
TPU v6e at Google Red Oak on 2025-08-25T00:00:00.000Z,Google Red Oak,2025-08-25,TPU v6e,87420,Estimate,Estimate,,,"Building 1 (Q4 FY25 production mix). Chip type and quantity derived from Timeline power, TPU production shares, and per-chip TDP.",Epoch AI,2026-05-19T03:13:01.000Z,Epoch AI,2026-05-19 03:13:01+00:00
TPU v7 at Google Red Oak on 2025-08-25T00:00:00.000Z,Google Red Oak,2025-08-25,TPU v7,11535,Estimate,Estimate,,,"Building 1 (Q4 FY25 production mix). Chip type and quantity derived from Timeline power, TPU production shares, and per-chip TDP.",Epoch AI,2026-05-19T03:13:02.000Z,Epoch AI,2026-05-19 03:13:02+00:00
B200 at Microsoft Goodyear on 2025-09-01T00:00:00.000Z,Microsoft Goodyear,2025-09-01,B200,58121,Estimate,Estimate,Microsoft #confident,Microsoft #confident,"GB200 NVL72 assumed from operational date (Q3 2025) and insufficient cooling for B200 power density. Count = 2 buildings × chips per building, from chiller-based IT capacity / server power × 72.",Epoch AI,2026-04-02T19:44:29.000Z,Epoch AI,2026-05-16 10:29:36+00:00
B200 at OpenAI Stargate Abilene on 2025-09-26T00:00:00.000Z,OpenAI Stargate Abilene,2025-09-26,B200,100800,Company disclosure,Company disclosure,Oracle #confident,OpenAI #confident,"[Crusoe Impact Report 2024, p.19](https://cdn.prod.website-files.com/6855c1aa175582ee23e0aa19/68710273a71bb7c11049ba28_Crusoe_Impact_Report_2024.pdf#page=19)",Epoch AI,2026-03-03T20:35:37.000Z,Epoch AI,2026-05-16 10:28:24+00:00
B200 at Fluidstack Lake Mariner on 2025-10-01T00:00:00.000Z,Fluidstack Lake Mariner,2025-10-01,B200,7852,Estimate,Estimate,Core42 #confident,G42 #likely,"Chip type could be H200, but given the timing and use of liquid cooling, probably B200. [TeraWulf press release](https://investors.terawulf.com/news-events/press-releases/detail/99/terawulf-to-deliver-over-70-mw-of-data-center)",Epoch AI,2026-03-05T20:57:19.000Z,Epoch AI,2026-05-16 10:32:59+00:00
TPU v6e at Google Columbus on 2025-10-01T00:00:00.000Z,Google Columbus,2025-10-01,TPU v6e,176600,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Cumulative through Building 3 (Q4 FY25 mix for new capacity). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-05-07T01:39:12.000Z,Epoch AI,2026-05-16 10:31:51+00:00
TPU v7 at Google Columbus on 2025-10-01T00:00:00.000Z,Google Columbus,2025-10-01,TPU v7,12945,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Building 3 (Q4 FY25 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-05-07T01:39:12.000Z,Epoch AI,2026-05-16 10:31:51+00:00
TPU v6e at Google New Albany on 2025-10-14T00:00:00.000Z,Google New Albany,2025-10-14,TPU v6e,262285,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Cumulative through Building 4 (Q4 FY25 mix for new capacity). Chip type and quantity derived from Timeline power, TPU_Production shares, and per-chip TDP from Parameters.",Epoch AI,2026-03-02T22:35:34.000Z,Epoch AI,2026-05-16 10:29:32+00:00
TPU v7 at Google New Albany on 2025-10-14T00:00:00.000Z,Google New Albany,2025-10-14,TPU v7,16920,Estimate,Estimate,Google #confident,Google DeepMind #likely,"First deployed in Building 4 (Q4 FY25 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and per-chip TDP from Parameters.",Epoch AI,2026-03-12T20:14:31.000Z,Epoch AI,2026-05-16 10:29:33+00:00
B200 at Microsoft Fairwater Atlanta on 2025-10-14T00:00:00.000Z,Microsoft Fairwater Atlanta,2025-10-14,B200,153563,Estimate,Estimate,Microsoft #confident,Microsoft #confident,GB200 NVL72 assumed from similarity to Microsoft Fairwater Wisconsin. Count = (Building 2/4 + Building 1 facility power) / PUE / IT overhead / server power × 72. Buildings 1-2 operational (paired Fairwater design).,Epoch AI,2026-04-02T19:44:27.000Z,Epoch AI,2026-05-16 10:30:37+00:00
